employee_id,first_name,last_name,role,email,phone,hired_at,is_active,updated_at,version
1,Miguel,Mitchell,driver,emp1@logco.kz,+77042818692,2023-09-10,True,,1
2,Deanna,Madden,dispatcher,emp2@logco.kz,+77936262632,2021-11-23,True,,1
3,Christopher,Wheeler,warehouse_worker,emp3@logco.kz,+77652940214,2021-04-27,True,,1
4,Patrick,Carpenter,dispatcher,emp4@logco.kz,+77245273534,2017-07-01,True,,1
5,Stephanie,Stevenson,driver,emp5@logco.kz,+77009722815,2023-01-15,True,,1
6,Blake,Stout,dispatcher,emp6@logco.kz,+77944305700,2021-01-31,True,,1
7,Ashley,Lopez,manager,emp7@logco.kz,+77856539837,2023-12-28,True,,1
8,Cassidy,Mason,dispatcher,emp8@logco.kz,+77156038571,2022-09-09,True,,1
9,Susan,Hayes,driver,emp9@logco.kz,+77526472441,2021-07-07,True,,1
10,Lisa,Monroe,driver,emp10@logco.kz,+77703135534,2019-02-25,True,,1
11,Toni,Miller,dispatcher,emp11@logco.kz,+77483919694,2023-11-27,True,,1
12,Debbie,Williams,driver,emp12@logco.kz,+77511006810,2020-05-29,True,,1
13,Jasmine,Ritter,manager,emp13@logco.kz,+77556406444,2022-03-20,True,,1
14,Alexandria,Bishop,driver,emp14@logco.kz,+77864585314,2022-09-25,True,,1
15,Michael,Hardin,driver,emp15@logco.kz,+77943846949,2024-05-22,True,,1
16,Paul,Schroeder,dispatcher,emp16@logco.kz,+77656623525,2018-01-18,True,,1
17,Erika,Williams,dispatcher,emp17@logco.kz,+77964940441,2024-07-18,True,,1
18,Crystal,Cook,driver,emp18@logco.kz,+77253472189,2017-04-11,True,,1
19,Mark,Grant,driver,emp19@logco.kz,+77602221854,2022-02-09,True,,1
20,Paul,King,dispatcher,emp20@logco.kz,+77804262081,2025-01-21,True,,1
21,Melissa,Brandt,warehouse_worker,emp21@logco.kz,+77637705062,2019-09-27,True,,1
22,Carrie,Hernandez,manager,emp22@logco.kz,+77881093026,2018-03-13,True,,1
23,Christopher,Alvarado,driver,emp23@logco.kz,+77283950888,2024-10-21,True,,1
24,Sabrina,Collins,warehouse_worker,emp24@logco.kz,+77065180853,2018-05-13,True,,1
25,Diana,Bates,driver,emp25@logco.kz,+77599910914,2023-04-09,True,,1
26,David,Fletcher,manager,emp26@logco.kz,+77968425149,2023-11-15,True,,1
27,Christopher,Hansen,manager,emp27@logco.kz,+77648159521,2023-02-23,True,,1
28,Dawn,Murphy,driver,emp28@logco.kz,+77208963715,2022-01-18,True,,1
29,David,Warner,driver,emp29@logco.kz,+77315652512,2022-11-06,True,,1
30,Stacey,Osborn,warehouse_worker,emp30@logco.kz,+77305606980,2021-12-07,True,,1
31,Rita,Davis,dispatcher,emp31@logco.kz,+77364934149,2020-01-18,True,,1
32,Ellen,Romero,warehouse_worker,emp32@logco.kz,+77692351868,2018-07-21,True,,1
33,Andrew,Parker,driver,emp33@logco.kz,+77493563646,2024-12-03,True,,1
34,Stephanie,Peterson,warehouse_worker,emp34@logco.kz,+77537838382,2020-09-17,True,,1
35,Katie,Lee,manager,emp35@logco.kz,+77532044645,2019-04-28,True,,1
36,Zoe,Moore,dispatcher,emp36@logco.kz,+77491327691,2023-06-17,True,,1
37,Kenneth,French,warehouse_worker,emp37@logco.kz,+77006901533,2020-05-08,True,,1
38,William,Fernandez,driver,emp38@logco.kz,+77534700025,2022-06-23,True,,1
39,Joanna,Rose,warehouse_worker,emp39@logco.kz,+77559147720,2017-04-29,True,,1
40,Ebony,Walter,driver,emp40@logco.kz,+77857783308,2025-02-14,True,,1
41,Christine,Harper,driver,emp41@logco.kz,+77593141239,2023-12-24,True,,1
42,Eric,White,warehouse_worker,emp42@logco.kz,+77501454696,2017-12-10,True,,1
43,Heather,Weber,driver,emp43@logco.kz,+77178746014,2019-01-15,True,,1
44,Raven,Griffith,manager,emp44@logco.kz,+77486492066,2019-05-17,True,,1
45,Bradley,Diaz,dispatcher,emp45@logco.kz,+77437360682,2020-02-14,True,,1
46,Jennifer,Montes,manager,emp46@logco.kz,+77535232413,2017-12-02,True,,1
47,Cheryl,Goodwin,dispatcher,emp47@logco.kz,+77951873851,2020-12-04,True,,1
48,Kristen,Young,driver,emp48@logco.kz,+77081675419,2017-05-08,False,,1
49,John,Sheppard,warehouse_worker,emp49@logco.kz,+77251341919,2023-12-20,True,,1
50,Kristen,Mckee,driver,emp50@logco.kz,+77168945036,2024-07-05,True,,1
